Method	Protein Groups	Precursor	AATP	Included
8Th18ms	2308	10293	negative	yes
8Th18ms	2307	10023	negative	yes
8Th18ms	2381	10781	negative	yes
8Th18ms	2444	11207	negative	yes
8Th18ms	143	325	positive	no
8Th18ms	2385	10762	positive	yes
8Th18ms	2376	10477	positive	yes
8Th18ms	2229	9332	positive	yes
20Th40ms	2354	10698	negative	yes
20Th40ms	2387	11062	negative	yes
20Th40ms	2229	9922	negative	yes
20Th40ms	1873	7305	negative	yes
20Th40ms	2355	11175	positive	yes
20Th40ms	353	696	positive	no
20Th40ms	1607	5265	positive	yes
20Th40ms	2214	9658	positive	yes
30vW-40ms	266	545	negative	no
30vW-40ms	2316	10017	negative	yes
30vW-40ms	2285	9982	negative	yes
30vW-40ms	158	299	negative	no
30vW-40ms	2423	10949	positive	yes
30vW-40ms	2319	10270	positive	yes
30vW-40ms	2199	9160	positive	yes
30vW-40ms	450	1077	positive	no
45vW-28ms	2553	10713	negative	yes
45vW-28ms	2656	12059	negative	yes
45vW-28ms	2579	11534	negative	yes
45vW-28ms	2653	11981	negative	yes
45vW-28ms	377	938	positive	no
45vW-28ms	2628	12014	positive	yes
45vW-28ms	2600	11779	positive	yes
45vW-28ms	2568	11268	positive	yes